"","area","year","species","mark","month","day","date","fish"
"1","13",2020,"Coho","M","Mar","09",18330,13.3333333333333
"2","13",2020,"Coho","M","Mar","22",18343,6.66666666666667
"3","09",2020,"Coho","U","May","07",18389,10
"4","10",2020,"Coho","M","Jun","01",18414,10.1173708920188
"5","10",2020,"Coho","M","Jun","02",18415,10.1173708920188
"6","10",2020,"Coho","M","Jun","04",18417,20.2347417840376
"7","10",2020,"Coho","U","Jun","04",18417,10.1173708920188
"8","10",2020,"Coho","U","Jun","06",18419,10.1173708920188
"9","10",2020,"Coho","M","Jun","07",18420,10.1173708920188
"10","10",2020,"Coho","U","Jun","07",18420,20.2347417840376
"11","10",2020,"Coho","M","Jun","08",18421,10.1173708920188
"12","10",2020,"Coho","U","Jun","08",18421,10.1173708920188
"13","10",2020,"Coho","M","Jun","09",18422,10.1173708920188
"14","10",2020,"Coho","U","Jun","09",18422,10.1173708920188
"15","10",2020,"Coho","M","Jun","10",18423,50.5868544600939
"16","10",2020,"Coho","U","Jun","10",18423,30.3521126760563
"17","10",2020,"Coho","M","Jun","11",18424,60.7042253521127
"18","10",2020,"Coho","U","Jun","11",18424,50.5868544600939
"19","10",2020,"Coho","M","Jun","12",18425,111.291079812207
"20","10",2020,"Coho","U","Jun","12",18425,40.4694835680751
"21","10",2020,"Coho","M","Jun","13",18426,70.8215962441315
"22","10",2020,"Coho","U","Jun","13",18426,131.525821596244
"23","10",2020,"Coho","M","Jun","14",18427,60.7042253521127
"24","10",2020,"Coho","U","Jun","14",18427,80.9389671361503
"25","10",2020,"Coho","M","Jun","15",18428,30.3521126760563
"26","10",2020,"Coho","U","Jun","15",18428,10.1173708920188
"27","10",2020,"Coho",NA,"Jun","16",18429,10.1173708920188
"28","10",2020,"Coho","M","Jun","16",18429,70.8215962441315
"29","10",2020,"Coho","U","Jun","16",18429,101.173708920188
"30","10",2020,"Coho",NA,"Jun","17",18430,30.3521126760563
"31","10",2020,"Coho","M","Jun","17",18430,293.403755868545
"32","10",2020,"Coho","U","Jun","17",18430,151.760563380282
"33","10",2020,"Coho",NA,"Jun","18",18431,10.1173708920188
"34","10",2020,"Coho","M","Jun","18",18431,252.93427230047
"35","10",2020,"Coho","U","Jun","18",18431,212.464788732394
"36","10",2020,"Coho",NA,"Jun","19",18432,20.2347417840376
"37","10",2020,"Coho","M","Jun","19",18432,374.342723004695
"38","10",2020,"Coho","U","Jun","19",18432,182.112676056338
"39","10",2020,"Coho",NA,"Jun","20",18433,20.2347417840376
"40","10",2020,"Coho","M","Jun","20",18433,101.173708920188
"41","10",2020,"Coho","U","Jun","20",18433,80.9389671361503
"42","10",2020,"Coho",NA,"Jun","21",18434,40.4694835680751
"43","10",2020,"Coho","M","Jun","21",18434,131.525821596244
