"","area_code","survey_datetime","year","yr","month","m","day","day_of_week","week_day_type","time_step","anglers","coho_total_kept","kept_coho_ad_rate","coho_kept_ad","coho_total_released","coho_total_encounters","coho_kept_per_angler","coho_kept_ad_per_angler","coho_released_per_angler","coho_encounters_per_angler"
"1","10","2003-01-04",2003,"2003",1,"Jan",4,"Sat","wkend",1,3,0,0,0,0,0,0,0,0,0
"2","10","2003-01-05",2003,"2003",1,"Jan",5,"Sun","wkend",1,101,1,1,1,10,11,0.0099009900990099,0.0099009900990099,0.099009900990099,0.108910891089109
"3","10","2003-01-11",2003,"2003",1,"Jan",11,"Sat","wkend",1,52,0,0,0,4,4,0,0,0.0769230769230769,0.0769230769230769
"4","10","2003-01-12",2003,"2003",1,"Jan",12,"Sun","wkend",1,79,0,0,0,1,1,0,0,0.0126582278481013,0.0126582278481013
"5","10","2003-01-14",2003,"2003",1,"Jan",14,"Tue","wkday",1,7,0,0,0,0,0,0,0,0,0
"6","10","2003-01-17",2003,"2003",1,"Jan",17,"Fri","wkend",1,17,0,0,0,4,4,0,0,0.235294117647059,0.235294117647059
"7","10","2003-01-18",2003,"2003",1,"Jan",18,"Sat","wkend",1,60,0,0,0,2,2,0,0,0.0333333333333333,0.0333333333333333
"8","10","2003-01-19",2003,"2003",1,"Jan",19,"Sun","wkend",1,133,1,1,1,2,3,0.0075187969924812,0.0075187969924812,0.0150375939849624,0.0225563909774436
"9","10","2003-01-25",2003,"2003",1,"Jan",25,"Sat","wkend",1,48,0,0,0,8,8,0,0,0.166666666666667,0.166666666666667
"10","10","2003-01-26",2003,"2003",1,"Jan",26,"Sun","wkend",1,51,0,0,0,0,0,0,0,0,0
"11","10","2003-01-28",2003,"2003",1,"Jan",28,"Tue","wkday",1,10,0,0,0,1,1,0,0,0.1,0.1
"12","10","2003-02-01",2003,"2003",2,"Feb",1,"Sat","wkend",1,9,0,0,0,0,0,0,0,0,0
"13","10","2003-02-02",2003,"2003",2,"Feb",2,"Sun","wkend",1,46,1,1,1,3,4,0.0217391304347826,0.0217391304347826,0.0652173913043478,0.0869565217391304
"14","10","2003-02-07",2003,"2003",2,"Feb",7,"Fri","wkend",1,13,0,0,0,1,1,0,0,0.0769230769230769,0.0769230769230769
"15","10","2003-02-08",2003,"2003",2,"Feb",8,"Sat","wkend",1,28,0,0,0,4,4,0,0,0.142857142857143,0.142857142857143
"16","10","2003-02-09",2003,"2003",2,"Feb",9,"Sun","wkend",1,39,0,0,0,20,20,0,0,0.512820512820513,0.512820512820513
"17","10","2003-02-13",2003,"2003",2,"Feb",13,"Thu","wkday",1,7,0,0,0,0,0,0,0,0,0
"18","10","2003-02-15",2003,"2003",2,"Feb",15,"Sat","wkend",1,3,0,0,0,0,0,0,0,0,0
"19","10","2003-02-16",2003,"2003",2,"Feb",16,"Sun","wkend",1,17,0,0,0,1,1,0,0,0.0588235294117647,0.0588235294117647
"20","10","2003-02-19",2003,"2003",2,"Feb",19,"Wed","wkday",1,5,0,0,0,0,0,0,0,0,0
"21","10","2003-02-22",2003,"2003",2,"Feb",22,"Sat","wkend",1,17,0,0,0,0,0,0,0,0,0
"22","10","2003-02-23",2003,"2003",2,"Feb",23,"Sun","wkend",1,44,0,0,0,4,4,0,0,0.0909090909090909,0.0909090909090909
"23","10","2003-02-24",2003,"2003",2,"Feb",24,"Mon","wkday",1,4,0,0,0,0,0,0,0,0,0
"24","10","2003-02-27",2003,"2003",2,"Feb",27,"Thu","wkday",1,6,0,0,0,2,2,0,0,0.333333333333333,0.333333333333333
"25","10","2003-03-15",2003,"2003",3,"Mar",15,"Sat","wkend",1,4,0,0,0,0,0,0,0,0,0
"26","10","2003-04-20",2003,"2003",4,"Apr",20,"Sun","wkend",1,2,0,0,0,0,0,0,0,0,0
"27","10","2003-04-24",2003,"2003",4,"Apr",24,"Thu","wkday",1,3,0,0,0,0,0,0,0,0,0
"28","10","2003-04-26",2003,"2003",4,"Apr",26,"Sat","wkend",1,2,0,0,0,0,0,0,0,0,0
"29","10","2003-05-01",2003,"2003",5,"May",1,"Thu","wkday",1,4,0,0,0,0,0,0,0,0,0
"30","10","2003-05-04",2003,"2003",5,"May",4,"Sun","wkend",1,44,0,0,0,0,0,0,0,0,0
"31","10","2003-05-09",2003,"2003",5,"May",9,"Fri","wkend",1,14,0,0,0,0,0,0,0,0,0
"32","10","2003-05-10",2003,"2003",5,"May",10,"Sat","wkend",1,31,0,0,0,0,0,0,0,0,0
"33","10","2003-05-11",2003,"2003",5,"May",11,"Sun","wkend",1,14,0,0,0,0,0,0,0,0,0
"34","10","2003-05-17",2003,"2003",5,"May",17,"Sat","wkend",1,24,0,0,0,0,0,0,0,0,0
"35","10","2003-05-18",2003,"2003",5,"May",18,"Sun","wkend",1,30,0,0,0,0,0,0,0,0,0
"36","10","2003-05-23",2003,"2003",5,"May",23,"Fri","wkend",1,21,0,0,0,0,0,0,0,0,0
"37","10","2003-05-24",2003,"2003",5,"May",24,"Sat","wkend",1,45,0,0,0,0,0,0,0,0,0
"38","10","2003-05-31",2003,"2003",5,"May",31,"Sat","wkend",1,32,0,0,0,0,0,0,0,0,0
"39","10","2003-06-01",2003,"2003",6,"Jun",1,"Sun","wkend",1,58,0,0,0,2,2,0,0,0.0344827586206897,0.0344827586206897
"40","10","2003-06-06",2003,"2003",6,"Jun",6,"Fri","wkend",1,3,0,0,0,0,0,0,0,0,0
"41","10","2003-06-07",2003,"2003",6,"Jun",7,"Sat","wkend",1,15,0,0,0,0,0,0,0,0,0
"42","10","2003-06-08",2003,"2003",6,"Jun",8,"Sun","wkend",1,1,0,0,0,0,0,0,0,0,0
"43","10","2003-06-13",2003,"2003",6,"Jun",13,"Fri","wkend",1,4,0,0,0,0,0,0,0,0,0
"44","10","2003-06-21",2003,"2003",6,"Jun",21,"Sat","wkend",1,6,0,0,0,0,0,0,0,0,0
