"","yr_type","type","yr","FisheryName","ts","ff","area_code","var","val"
"1","2021_pre","pre","2021","Area 7 Spt",5,2,"07","Quota",0
"2","2021_pre","pre","2021","Area 5 Spt",2,7,"05","MSFQuota",1795.66572
"3","2021_pre","pre","2021","Area 6 Spt",3,7,"06","MSFQuota",534.73669
"4","2021_pre","pre","2021","Area 7 Spt",3,8,"07","MSFQuota",627
"5","2021_pre","pre","2021","Area 7 Spt",2,8,"07","MSFQuota",96
"6","2021_pre","pre","2021","Area 7 Spt",1,2,"07","Quota",0
"7","2021_pre","pre","2021","Area 6 Spt",5,2,"06","Quota",0
"8","2021_pre","pre","2021","Area 6 Spt",4,7,"06","MSFQuota",1977.08576
"9","2021_pre","pre","2021","Area 7 Spt",4,8,"07","MSFQuota",1802
"10","2021_pre","pre","2021","Area 6 Spt",2,7,"06","MSFQuota",69.4033
"11","2021_pre","pre","2021","Area 6 Spt",1,2,"06","Quota",0
"12","2021_pre","pre","2021","Area 5 Spt",5,2,"05","Quota",0
"13","2021_pre","pre","2021","Area 5 Spt",3,7,"05","MSFQuota",5326.11741
"14","2021_pre","pre","2021","Ar 10  Spt",5,2,"10","Quota",1374
"15","2021_pre","pre","2021","Ar 10  Spt",4,2,"10","Quota",12036
"16","2021_pre","pre","2021","Ar 8-2 Spt",1,2,"82","Quota",0
"17","2021_pre","pre","2021","Ar 13  Spt",4,8,"13","MSFQuota",198
"18","2021_pre","pre","2021","Area 5 Spt",4,7,"05","MSFQuota",9356.1937
"19","2021_pre","pre","2021","Ar 11  Spt",5,2,"11","Quota",201
"20","2021_pre","pre","2021","Ar 12  Spt",5,2,"12","Quota",249
"21","2021_pre","pre","2021","Ar 12  Spt",4,2,"12","Quota",1243
"22","2021_pre","pre","2021","Ar 12  Spt",3,2,"12","Quota",631
"23","2021_pre","pre","2021","Ar 13  Spt",5,8,"13","MSFQuota",214
"24","2021_pre","pre","2021","Ar 10  Spt",1,2,"10","Quota",4005
"25","2021_pre","pre","2021","Ar 13  Spt",2,8,"13","MSFQuota",41
"26","2021_pre","pre","2021","Ar 13  Spt",1,8,"13","MSFQuota",227
"27","2021_pre","pre","2021","Ar 8-2 Spt",2,2,"82","Quota",0
"28","2021_pre","pre","2021","Ar 11  Spt",4,2,"11","Quota",1371
"29","2021_pre","pre","2021","Ar 11  Spt",3,2,"11","Quota",687
"30","2021_pre","pre","2021","Ar 11  Spt",2,2,"11","Quota",151
"31","2021_pre","pre","2021","Ar 11  Spt",1,2,"11","Quota",15
"32","2021_pre","pre","2021","Ar 8-2 Spt",5,2,"82","Quota",0
"33","2021_pre","pre","2021","Ar 8-2 Spt",4,7,"82","MSFQuota",1618.79976
"34","2021_pre","pre","2021","Ar 8-2 Spt",3,7,"82","MSFQuota",199.60637
"35","2021_pre","pre","2021","Ar 13  Spt",3,8,"13","MSFQuota",57
"36","2021_pre","pre","2021","Ar 8-1 Spt",4,2,"81","Quota",1842
"37","2021_pre","pre","2021","Ar 10  Spt",2,2,"10","Quota",3826
"38","2021_pre","pre","2021","Ar 8-1 Spt",1,2,"81","Quota",0
"39","2021_pre","pre","2021","Ar 10  Spt",3,2,"10","Quota",3587
"40","2021_pre","pre","2021","Ar 8-1 Spt",3,2,"81","Quota",580
"41","2021_pre","pre","2021","Area 5 Spt",1,2,"05","Quota",0
"42","2021_pre","pre","2021","Ar 8-1 Spt",5,2,"81","Quota",0
"43","2021_pre","pre","2021","Area 9 Spt",1,2,"09","Quota",0
"44","2021_pre","pre","2021","Area 9 Spt",2,8,"09","MSFQuota",472
"45","2021_pre","pre","2021","Area 9 Spt",3,8,"09","MSFQuota",2166
"46","2021_pre","pre","2021","Area 9 Spt",4,8,"09","MSFQuota",10815
"47","2021_pre","pre","2021","Area 9 Spt",5,2,"09","Quota",0
"48","2021_pre","pre","2021","Ar 8-1 Spt",2,2,"81","Quota",0
"49","2022_pre","pre","2022","Area 9 Spt",1,2,"09","Quota",0
"50","2022_pre","pre","2022","Ar 8-1 Spt",5,2,"81","Quota",65
"51","2022_pre","pre","2022","Ar 8-1 Spt",4,2,"81","Quota",2518
"52","2022_pre","pre","2022","Ar 8-1 Spt",3,2,"81","Quota",289
"53","2022_pre","pre","2022","Ar 8-1 Spt",2,2,"81","Quota",0
"54","2022_pre","pre","2022","Ar 8-1 Spt",1,2,"81","Quota",0
"55","2022_pre","pre","2022","Ar 11  Spt",5,2,"11","Quota",93
"56","2022_pre","pre","2022","Area 9 Spt",2,8,"09","MSFQuota",1224
"57","2022_pre","pre","2022","Ar 11  Spt",3,2,"11","Quota",1163
"58","2022_pre","pre","2022","Ar 13  Spt",3,8,"13","MSFQuota",50
"59","2022_pre","pre","2022","Ar 11  Spt",4,2,"11","Quota",2960
"60","2022_pre","pre","2022","Area 9 Spt",3,8,"09","MSFQuota",2718
"61","2022_pre","pre","2022","Area 9 Spt",4,8,"09","MSFQuota",5873
"62","2022_pre","pre","2022","Area 9 Spt",5,2,"09","Quota",0
"63","2022_pre","pre","2022","Ar 8-2 Spt",1,2,"82","Quota",0
"64","2022_pre","pre","2022","Area 5 Spt",1,2,"05","Quota",0
"65","2022_pre","pre","2022","Ar 13  Spt",2,8,"13","MSFQuota",22
"66","2022_pre","pre","2022","Area 6 Spt",4,8,"06","MSFQuota",5915
"67","2022_pre","pre","2022","Ar 13  Spt",4,8,"13","MSFQuota",325
"68","2022_pre","pre","2022","Ar 13  Spt",5,8,"13","MSFQuota",71
"69","2022_pre","pre","2022","Ar 12  Spt",3,2,"12","Quota",1981
"70","2022_pre","pre","2022","Ar 12  Spt",4,2,"12","Quota",4837
"71","2022_pre","pre","2022","Ar 12  Spt",5,2,"12","Quota",803
"72","2022_pre","pre","2022","Ar 13  Spt",1,8,"13","MSFQuota",290
"73","2022_pre","pre","2022","Area 7 Spt",5,2,"07","Quota",0
"74","2022_pre","pre","2022","Ar 11  Spt",2,2,"11","Quota",337
"75","2022_pre","pre","2022","Ar 11  Spt",1,2,"11","Quota",7
"76","2022_pre","pre","2022","Ar 10  Spt",5,2,"10","Quota",567
"77","2022_pre","pre","2022","Ar 10  Spt",4,2,"10","Quota",11837
"78","2022_pre","pre","2022","Ar 10  Spt",3,2,"10","Quota",5339
"79","2022_pre","pre","2022","Ar 10  Spt",2,2,"10","Quota",3658
"80","2022_pre","pre","2022","Ar 10  Spt",1,2,"10","Quota",3260
"81","2022_pre","pre","2022","Ar 8-2 Spt",5,2,"82","Quota",0
"82","2022_pre","pre","2022","Ar 8-2 Spt",4,8,"82","MSFQuota",2752
"83","2022_pre","pre","2022","Area 6 Spt",2,8,"06","MSFQuota",44
"84","2022_pre","pre","2022","Ar 8-2 Spt",2,2,"82","Quota",0
"85","2022_pre","pre","2022","Area 5 Spt",2,8,"05","MSFQuota",433
"86","2022_pre","pre","2022","Area 7 Spt",4,8,"07","MSFQuota",3739
"87","2022_pre","pre","2022","Area 7 Spt",3,8,"07","MSFQuota",488
"88","2022_pre","pre","2022","Area 7 Spt",2,8,"07","MSFQuota",91
"89","2022_pre","pre","2022","Area 7 Spt",1,2,"07","Quota",0
"90","2022_pre","pre","2022","Area 6 Spt",5,2,"06","Quota",0
"91","2022_pre","pre","2022","Area 6 Spt",3,8,"06","MSFQuota",717
"92","2022_pre","pre","2022","Area 6 Spt",1,2,"06","Quota",0
"93","2022_pre","pre","2022","Area 5 Spt",5,2,"05","Quota",0
"94","2022_pre","pre","2022","Area 5 Spt",4,8,"05","MSFQuota",15248
"95","2022_pre","pre","2022","Area 5 Spt",3,8,"05","MSFQuota",2881
"96","2022_pre","pre","2022","Ar 8-2 Spt",3,8,"82","MSFQuota",249
"97","2004_pre","pre","2004","Ar 8-2 Spt",4,2,"82","Quota",6328
"98","2004_pre","pre","2004","Ar 11  Spt",4,2,"11","Quota",3782
"99","2004_pre","pre","2004","Area 9 Spt",3,2,"09","Quota",6640
"100","2004_pre","pre","2004","Area 9 Spt",4,2,"09","Quota",10035
"101","2004_pre","pre","2004","Area 9 Spt",5,2,"09","Quota",2416
"102","2004_pre","pre","2004","Ar 13  Spt",3,7,"13","MSFQuota",281.02663
"103","2004_pre","pre","2004","Ar 13  Spt",4,7,"13","MSFQuota",469.2432
"104","2004_pre","pre","2004","Ar 13  Spt",5,7,"13","MSFQuota",324.92898
"105","2004_pre","pre","2004","Ar 8-2 Spt",1,2,"82","Quota",33
"106","2004_pre","pre","2004","Area 9 Spt",1,2,"09","Quota",74
"107","2004_pre","pre","2004","Ar 8-2 Spt",3,2,"82","Quota",1271
"108","2004_pre","pre","2004","Ar 8-1 Spt",5,2,"81","Quota",581
