time_step,catch_area_code,regulation_type_code,kept_coho
1,13,MSF,
1,10,NS,5133.915087703807
1,11,NS,285.00934440207254
2,05,MSF,641.7438167328208
2,06,MSF,245.56827494962985
2,07,MSF,177.79880731834402
2,09,MSF,3373.103792412132
2,13,MSF,
2,10,NS,12828.087920111833
2,11,NS,557.0088766874561
2,12,NS,
3,05,MSF,4708.21195230888
3,06,MSF,749.7839429154423
3,07,MSF,175.52704845668077
3,09,MSF,2419.8184580322018
3,13,MSF,
3,10,NS,5269.1646433442
3,12,NS,
3,81,NS,302.6273300780933
3,82,NS,1554.8503260734847
4,05,MSF,9741.399212606306
4,06,MSF,2925.934902240989
4,09,MSF,7975.440080172956
4,13,MSF,
4,07,NS,1527.971810303767
4,09,NS,8639.07696663975
4,10,NS,12030.929262878133
4,11,NS,5520.143020539569
4,12,NS,
4,81,NS,684.636515118721
4,82,NS,3953.0321667428816
5,13,MSF,
5,05,NS,2492.4706448927254
5,06,NS,2355.586603227096
5,10,NS,1792.316810758489
5,11,NS,644.8203805967551
5,12,NS,
