start_date,end_date,coho_ad_k,coho_um_k,coho_unk_k,coho_ad_r,coho_um_r,coho_unk_r,catch_area_code,source
6/1/2015,6/7/2015,0,0,0,0,0,0,11,Chinook Summer 2015 MSF Report
6/8/2015,6/14/2015,0,0,0,0,3,0,11,Chinook Summer 2015 MSF Report
6/15/2015,6/21/2015,0,0,0,0,0,0,11,Chinook Summer 2015 MSF Report
6/22/2015,6/28/2015,3,0,0,0,3,0,11,Chinook Summer 2015 MSF Report
6/29/2015,7/5/2015,0,0,0,7,0,7,11,Chinook Summer 2015 MSF Report
7/1/2015,7/5/2015,108.9183727,3.079701382,0,80.06562967,177.7110402,61.36894377,5,Summer In-Season Coho Estimates
7/6/2015,7/12/2015,384.1732164,6.159402764,0,61.59402764,464.8770782,126.0762549,5,Summer In-Season Coho Estimates
7/6/2015,7/12/2015,0,0,0,3,7,3,11,Chinook Summer 2015 MSF Report
7/13/2015,7/19/2015,699.729083,14.64118141,0,21.36455772,902.0679679,77.86767014,5,Summer In-Season Coho Estimates
7/13/2015,7/19/2015,3,0,0,0,3,0,11,Chinook Summer 2015 MSF Report
7/16/2015,7/20/2015,26,29,0,8,15,86,9,Chinook Summer 2015 MSF Report
7/20/2015,7/26/2015,431.2589557,4.666941026,0,4.632021914,477.7198068,42.92996161,5,Summer In-Season Coho Estimates
7/20/2015,7/26/2015,0,0,0,0,0,20,11,Chinook Summer 2015 MSF Report
7/21/2015,7/26/2015,111,79,0,81,71,35,9,Chinook Summer 2015 MSF Report
7/27/2015,8/2/2015,1153.27296,25.1454267,0,26.84270284,1164.899236,0,5,Summer In-Season Coho Estimates
7/27/2015,8/2/2015,8,0,0,37,20,7,11,Chinook Summer 2015 MSF Report
8/3/2015,8/9/2015,1645.956664,6.51949037,0,69.72937606,1560.389193,0,5,Summer In-Season Coho Estimates
8/3/2015,8/9/2015,0,0,0,31,0,10,11,Chinook Summer 2015 MSF Report
8/10/2015,8/16/2015,3745.865393,60.77030753,0,51.1276872,5353.48574,57.92462689,5,Summer In-Season Coho Estimates
8/10/2015,8/16/2015,33,51,0,4,10,34,11,Chinook Summer 2015 MSF Report
8/17/2015,8/23/2015,2830.309004,95.42884722,0,104.8374315,4751.458492,0,5,Summer In-Season Coho Estimates
8/17/2015,8/23/2015,88,79,0,0,17,50,11,Chinook Summer 2015 MSF Report
8/24/2015,8/30/2015,1119.81476,8.352893409,0,12.997985,1516.883516,25.32023378,5,Summer In-Season Coho Estimates
8/24/2015,8/30/2015,121,61,0,0,15,18,11,Chinook Summer 2015 MSF Report
