"","year","time_step","catch_area_code","reg"
"1",2003,1,"11","NS"
"2",2003,1,"13","NS"
"3",2003,2,"05","MSF"
"4",2003,2,"06","MSF"
"5",2003,2,"07","NS"
"6",2003,2,"09","NS"
"7",2003,2,"10","NS"
"8",2003,2,"11","NS"
"9",2003,2,"12","NS"
"10",2003,2,"13","MSF"
"11",2003,3,"05","MSF"
"12",2003,3,"06","MSF"
"13",2003,3,"07","MSF"
"14",2003,3,"09","NS"
"15",2003,3,"10","NS"
"16",2003,3,"11","NS"
"17",2003,3,"12","NS"
"18",2003,3,"13","MSF"
"19",2003,3,"81","NS"
"20",2003,3,"82","NS"
"21",2003,4,"05","MSF"
"22",2003,4,"06","MSF"
"23",2003,4,"07","MSF"
"24",2003,4,"09","NS"
"25",2003,4,"10","NS"
"26",2003,4,"11","NS"
"27",2003,4,"12","NS"
"28",2003,4,"13","MSF"
"29",2003,4,"81","NS"
"30",2003,4,"82","NS"
"31",2003,5,"05","NS"
"32",2003,5,"06","NS"
"33",2003,5,"07","NS"
"34",2003,5,"09","NS"
"35",2003,5,"10","NS"
"36",2003,5,"11","NS"
"37",2003,5,"12","NS"
"38",2003,5,"13","MSF, NS"
"39",2003,5,"81","NS"
"40",2003,5,"82","NS"
"41",2004,1,"05","NS"
"42",2004,1,"06","NS"
"43",2004,1,"07","NS"
"44",2004,1,"09","NS"
"45",2004,1,"10","NS"
"46",2004,1,"11","NS"
"47",2004,1,"12","NS"
"48",2004,1,"13","NS"
"49",2004,1,"81","NS"
"50",2004,1,"82","NS"
"51",2004,2,"05","MSF"
"52",2004,2,"06","MSF"
"53",2004,2,"07","NS"
"54",2004,2,"09","NS"
"55",2004,2,"10","NS"
"56",2004,2,"11","NS"
"57",2004,2,"12","NS"
"58",2004,2,"13","MSF"
"59",2004,3,"05","MSF"
"60",2004,3,"06","MSF"
"61",2004,3,"07","MSF"
"62",2004,3,"09","NS"
"63",2004,3,"10","NS"
"64",2004,3,"11","NS"
"65",2004,3,"12","NS"
"66",2004,3,"13","MSF"
"67",2004,3,"81","NS"
"68",2004,3,"82","NS"
"69",2004,4,"05","MSF"
"70",2004,4,"06","MSF"
"71",2004,4,"07","MSF"
"72",2004,4,"09","NS"
"73",2004,4,"10","NS"
"74",2004,4,"11","NS"
"75",2004,4,"12","NS"
"76",2004,4,"13","MSF"
"77",2004,4,"81","NS"
"78",2004,4,"82","NS"
"79",2004,5,"05","NS"
"80",2004,5,"06","NS"
"81",2004,5,"07","NS"
"82",2004,5,"09","NS"
"83",2004,5,"10","NS"
"84",2004,5,"11","NS"
"85",2004,5,"12","NS"
"86",2004,5,"13","MSF, NS"
"87",2004,5,"81","NS"
"88",2004,5,"82","NS"
"89",2005,1,"05","NS"
"90",2005,1,"06","NS"
"91",2005,1,"07","NS"
"92",2005,1,"09","NS"
"93",2005,1,"10","NS"
"94",2005,1,"11","NS"
"95",2005,1,"12","NS"
"96",2005,1,"13","NS"
"97",2005,1,"81","NS"
"98",2005,1,"82","NS"
"99",2005,2,"05","MSF"
"100",2005,2,"06","MSF"
"101",2005,2,"07","NS"
"102",2005,2,"10","NS"
"103",2005,2,"11","NS"
"104",2005,2,"12","NS"
"105",2005,2,"13","MSF"
"106",2005,3,"05","MSF"
"107",2005,3,"06","MSF"
"108",2005,3,"07","MSF"
"109",2005,3,"09","NS"
